finger_x,finger_y,finger_z,label
0.623737931,0.251737088,0.623737931,left
0.651328325,0.254591167,0.651328325,left
0.373406947,0.334659398,0.373406947,left
0.365577787,0.332707345,0.365577787,left
0.393773586,0.330528796,0.393773586,left
0.423714221,0.318636596,0.423714221,left
0.481725514,0.301950932,0.481725514,left
0.567367554,0.281566024,0.567367554,left
0.652411222,0.270988733,0.652411222,left
0.737032533,0.268514335,0.737032533,left
0.798268378,0.261296868,0.798268378,left
0.82607168,0.248599023,0.82607168,left
0.631796122,0.256626934,0.631796122,left
0.613459051,0.264586329,0.613459051,left
0.594247103,0.273381829,0.594247103,left
0.52710712,0.281666756,0.52710712,left
0.480888039,0.291264385,0.480888039,left
0.448698997,0.303761274,0.448698997,left
0.398240328,0.31474936,0.398240328,left
0.380416662,0.327054471,0.380416662,left
0.598949134,0.277227163,0.598949134,left
0.617457807,0.280995071,0.617457807,left
0.285834163,0.346978247,0.285834163,left
0.28478685,0.34899199,0.28478685,left
0.299573094,0.347114444,0.299573094,left
0.350594938,0.336066365,0.350594938,left
0.408740342,0.331396639,0.408740342,left
0.488789767,0.318255693,0.488789767,left
0.548330605,0.318918258,0.548330605,left
0.614972711,0.337038577,0.614972711,left
0.658332825,0.34393096,0.658332825,left
0.664184868,0.34367162,0.664184868,left
0.619146228,0.281401366,0.619146228,left
0.590958595,0.280185223,0.590958595,left
0.580403566,0.288719475,0.580403566,left
0.569070995,0.296328902,0.569070995,left
0.489454538,0.303147018,0.489454538,left
0.395780087,0.315202415,0.395780087,left
0.337919772,0.336051792,0.337919772,left
0.30068028,0.341643721,0.30068028,left
0.666133225,0.267698407,0.666133225,left
0.677666187,0.273069799,0.677666187,left
0.303406179,0.315675318,0.303406179,left
0.323232979,0.30725503,0.323232979,left
0.334117919,0.305636466,0.334117919,left
0.363485068,0.304001421,0.363485068,left
0.438401759,0.300942034,0.438401759,left
0.520757794,0.297127604,0.520757794,left
0.602635324,0.294921637,0.602635324,left
0.620959044,0.308247775,0.620959044,left
0.605529547,0.304989457,0.605529547,left
0.597425044,0.301545024,0.597425044,left
0.667929053,0.282794058,0.667929053,left
0.637396872,0.285525739,0.637396872,left
0.542906225,0.288054168,0.542906225,left
0.425879449,0.29135412,0.425879449,left
0.34062022,0.303684831,0.34062022,left
0.322247267,0.311684251,0.322247267,left
0.313372076,0.315705895,0.313372076,left
0.303863555,0.319250762,0.303863555,left
0.632737994,0.267672777,0.632737994,left
0.645747602,0.263774514,0.645747602,left
0.334367096,0.30070737,0.334367096,left
0.316585898,0.303370357,0.316585898,left
0.32976675,0.302809179,0.32976675,left
0.379949093,0.298112035,0.379949093,left
0.457392067,0.296021342,0.457392067,left
0.573078871,0.288044721,0.573078871,left
0.630511105,0.28009671,0.630511105,left
0.622819722,0.289714336,0.622819722,left
0.611178041,0.282362103,0.611178041,left
0.593886673,0.278276503,0.593886673,left
0.653786719,0.258404076,0.653786719,left
0.64245224,0.264623612,0.64245224,left
0.608530104,0.264910519,0.608530104,left
0.564967573,0.270530552,0.564967573,left
0.436095029,0.288465917,0.436095029,left
0.334887624,0.296847045,0.334887624,left
0.340751082,0.299438953,0.340751082,left
0.348159045,0.299533069,0.348159045,left
0.664536774,0.276558399,0.664536774,left
0.678679764,0.268691152,0.678679764,left
0.400040001,0.331933826,0.400040001,left
0.390742123,0.329184294,0.390742123,left
0.388654768,0.334185004,0.388654768,left
0.401129782,0.330807745,0.401129782,left
0.447944432,0.329381675,0.447944432,left
0.527158022,0.325360358,0.527158022,left
0.611437619,0.328061968,0.611437619,left
0.670576453,0.345081508,0.670576453,left
0.605839968,0.348178804,0.605839968,left
0.598152399,0.342063636,0.598152399,left
0.696570098,0.277798355,0.696570098,left
0.684245765,0.281363904,0.684245765,left
0.647216856,0.289964378,0.647216856,left
0.581105232,0.301638067,0.581105232,left
0.501033187,0.315189272,0.501033187,left
0.462153971,0.322006047,0.462153971,left
0.408733696,0.327467501,0.408733696,left
0.381436139,0.338411927,0.381436139,left
0.546837211,0.218125075,0.546837211,right
0.566769183,0.211009756,0.566769183,right
